year,processor_performance,memory_performance
1980,1.3,1.1
1981,2,1.177
1982,3.6,1.25939
1983,4.5,1.3475473
1984,5.625,1.441875611
1985,7.03125,1.542806904
1986,10.6875,1.650803387
1987,16.245,1.766359624
1988,24.6924,1.890004798
1989,37.532448,2.022305134
1990,57.04932096,2.163866493
1991,86.71496786,2.315337148
1992,131.8067511,2.477410748
1993,200.3462617,2.6508295
1994,304.5263178,2.836387565
1995,462.8800031,3.034934695
1996,703.5776048,3.247380123
1997,1069.437959,3.474696732
1998,1625.545698,3.717925503
1999,2470.829461,3.978180289
2000,3755.660781,4.256652909
2001,4506.792937,4.554618612
2002,5408.151524,4.873441915
2003,6489.781829,5.214582849
2004,7787.738195,5.579603649
2005,9345.285834,5.970175904
2006,9345.285834,6.388088217
2007,9345.285834,6.835254393
2008,9345.285834,7.3137222
2009,9345.285834,7.825682754
2010,9345.285834,8.373480547